Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
0,2,3,0,2,0,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoError
1,2,3,1,1,0,-20,18,1,;SB;FB;NB;A125;I500;n35;P-20;B18;T0;X,NoError
2,2,3,2,4,0,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,NoError
3,2,3,3,2,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
4,2,3,4,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
5,2,3,5,4,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
6,2,3,6,4,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
7,2,3,7,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
8,2,3,8,2,0,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoError
9,2,3,9,2,0,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NoError
10,2,3,10,0,0,-50,19,1,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NoError
11,2,3,11,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
12,2,3,12,4,0,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,NoError
13,2,3,13,2,0,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoError
14,2,3,14,1,0,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T0;X,NoError
15,2,3,15,4,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
16,2,3,16,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
17,2,3,17,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
18,2,3,18,3,0,20,17,1,;SB;FB;NB;A125;I500;n35;P20;B17;T0;X,NoError
19,2,3,19,3,0,20,18,1,;SB;FB;NB;A125;I500;n35;P20;B18;T0;X,NoError
