Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
0,1,15,0,0,0,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NoError
1,1,15,1,2,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
2,1,15,2,5,1,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T1;X,NoError
3,1,15,3,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
4,1,15,4,1,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
5,1,15,5,5,1,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T1;X,NoError
6,1,15,6,1,0,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoError
7,1,15,7,1,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
8,1,15,8,2,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
9,1,15,9,4,1,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T1;X,NoError
10,1,15,10,4,1,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T1;X,NoError
11,1,15,11,5,1,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NoError
12,1,15,12,4,1,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T1;X,NoError
13,1,15,13,5,1,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T1;X,NoError
14,1,15,14,4,1,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,NoError
15,1,15,15,2,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
16,1,15,16,3,1,-50,19,1,;SB;FB;NB;A125;I500;n35;P-50;B19;T1;X,NoError
17,1,15,17,3,1,-50,20,0,;SB;FB;NB;A125;I500;n35;P-50;B20;T1;X,NonAssignedResp
18,1,15,18,4,1,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T1;X,NoError
19,1,15,19,2,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
20,1,15,20,1,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
21,1,15,21,5,1,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T1;X,NoError
22,1,15,22,3,1,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T1;X,NoError
23,1,15,23,4,1,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,NoError
24,1,15,17,3,1,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T1;X,NoError
